date_saf,depositing_date,district_name,entity_subtype_desc,ja_concat,jurstiction_area_name,last_update,mp_id,objectid,on_hold_date,open_date,pa_concat,pl_area_dunam,pl_by_auth_of,pl_date7,pl_date_8,pl_date_advertise,pl_id,pl_landuse_string,pl_last_deposit_date,pl_name,pl_number,pl_order_print_version,pl_rejection_date,pl_tasrit_prn_version,pl_url,plan_area_name,plan_charactor_name,plan_county_name,pq_authorised_quantity_110,pq_authorised_quantity_120,pq_detailed_plan_110,pq_detailed_plan_80,pq_pl_quantity_code_60,pq_pl_quantity_code_75,pq_pl_quantity_code_80,quantity_delta_105,quantity_delta_110,quantity_delta_120,quantity_delta_125,quantity_delta_60,quantity_delta_75,quantity_delta_80,quantity_desc_110,quantity_desc_120,quantity_desc_60,quantity_desc_75,quantity_desc_80,receiving_date,shape_area,shape_length,station_desc,מטרות
,,ירושלים,תכנית מפורטת,ירושלים,ירושלים,"20181204190237826   ",1000328711,"1898",2015/06/14 03:00:00,,ירושלים,126298,3,,2015/06/23 03:00:00,2015/02/13 02:00:00,1000366047,"יעוד עפ""י תכנית מאושרת אחרת",2015/04/14 03:00:00,תוספת שטחי בניה עיקריים עבור מרפסות מקורות בתנאים,101-0253286,6,,5,https://mavat.iplan.gov.il/SV4/1/1000328711/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,2015/02/13 02:00:00,130074766.458739,92604.34041113,אישור,"תוספת שטחי בניה עיקריים עבור מרפסות מקורות בתנאים ^ תוספת שטחי בניה עיקריים עבור מרפסות מקורות, בכל התכניות שהתירו הקמת בנייני מגורים חדשים בלבד בבנייה רוויה , ושמועד הפקדתן הינו בין התאריך 1.1.10 ל-31.12.13.
 ^ 1.התרת תוספת שטחי בניה עיקריים עבור מ"
2015/03/29 03:00:00,2015/07/06 03:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190240447   ",1000306113,"5169",2017/01/05 02:00:00,2016/05/23 03:00:00,ירושלים,941.605,2,,2017/01/12 02:00:00,2016/01/01 02:00:00,1000613425,"דרך ו/או טיפול נופי,דרך מאושרת,דרך מוצעת,יעוד עפ""י תכנית מאושרת אחרת,מבנים מוסדות ציבור ותחבורה,מרכז תחבורה,שטח ציבורי פתוח",2016/03/01 02:00:00,רכבת קלה בירושלים - קו ירוק,101-0209593,26,2016/05/23 03:00:00,27,https://mavat.iplan.gov.il/SV4/1/1000306113/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,2014/09/10 03:00:00,1098953.25687088,44382.09211176,אישור,"רכבת קלה בירושלים - קו ירוק ^ התוויה, סלילה והקמה של תוואי לרכבת קלה בירושלים - הקו הירוק - כחלק מרשת קווי מתע""ן (מערכת תחבורה עתירת נוסעים). ^ 1. קביעת הוראות לרצועת מתע""ן שבה ניתן יהיה להקים מסילות לרכבת קלה, לרבות מתקנים ותשתיות הדרושים להפעלתה, ו"
,,ירושלים,תכנית מפורטת,",",,"20190701172905919   ",1000971941,"10403",,,"ירושלים,מטה יהודה",154.345,3,,,,1000268839,"דרך ו/או טיפול נופי,דרך מאושרת,דרך מוצעת",,"כביש 396, בין צומת כרם להדסה",101-0699561,7,,6,https://mavat.iplan.gov.il/SV4/1/1000971941/310,מטה יהודה,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,2019/07/01 03:00:00,154312.37399726,5198.43006989,סמכות מקומית בתהליך,"כביש 396, בין צומת כרם להדסה ^ הרחבה ופיתוח דרך קיימת המחברת בין צומת כרם  לצומת הכניסה לביה""ח הדסה עין כרם. ^ 1. שינוי מערך יעודי הקרקע כמפורט להלן:
א. מיער נטע אדם קיים לדרך מוצעת ולדרך ו/או טיפול נופי.
ב. מקרקע חקלאית לדרך ו/או טיפול נופי.
ג. מ"
,,ירושלים,תכנית מפורטת,ירושלים,ירושלים,"20210110144356295   ",1000985589,"13233",2020/08/19 03:00:00,,ירושלים,26.845,3,,2020/08/23 03:00:00,2020/02/14 02:00:00,1005056432,"יעוד עפ""י תכנית מאושרת אחרת",2020/04/14 03:00:00,"מתחם הוג'יטק-שינוי הבנוי המאושר בתכנית 6394, גבעת רם, ירושלים",101-0721050,44,,23,https://mavat.iplan.gov.il/SV4/1/1000985589/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,0,0,0,0,0,80,0,0,0,0,0,0,0, , , , ,"מבני ציבור (מ""ר)",2019/05/27 03:00:00,26842.17761724,968.85363575,אישור,"מתחם הוג'יטק-שינוי הבנוי המאושר בתכנית 6394, גבעת רם, ירושלים ^ שינוי הבנוי המאושר בתכנית 6394 בשטח המתחם הידוע כמתחם הוג'יטק, גבעת רם, ירושלים ^ א. שינוי הבנוי המאושר עפ""י תכנית 6394, בתחום תא שטח 10, בין היתר בנושאים הבאים:
1.הקמת שלושה בנינים חדש"
,,מטה,הודעה לפי ס' 76 ג1 ו-77 וקביעת תנאים לפי ס' 78,,,"20221026160710812   ",99005229984,"20154",,,ירושלים,777.669,1,,2022/10/06 03:00:00,,99005234238,"יעוד עפ""י תכנית מאושרת אחרת",,מסילת רכבת בירושלים,תתל/ 108/ סעיף-78-77,3,,3,https://mavat.iplan.gov.il/SV4/1/99005229984/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,,780309.00466533,22923.64241118,הודעה 77/78,מסילת רכבת בירושלים ^  ^
,2022/12/06 02:00:00,צפון,תכנית מתאר ארצית,"אכסאל,אשכול,באר טוביה,בני שמעון,גולן,גוש חלב,גזר,דרום השרון,הגילבוע,הגליל העליון,הגליל התחתון,הערבה התיכונה,חבל אילות,חבל מודיעין,חוף אשקלון,חוף הכרמל,יואב,יסוד המעלה,לכיש,מטה אשר,מטה יהודה,מנשה,מרחבים,עמק הירדן,עמק המעיינות,עמק חפר,עמק יזרעאל,קרית שמונה,ראש פינה,ראשון לציון,רמת נגב,שער הנגב",ראש פינה,"20231102153900768   ",99005249620,"24837",,2023/08/31 03:00:00,"אצבע הגליל,באר טוביה,בני שמעון,גולן,גזר,דרום השרון,הגלבוע,הגליל העליון,הגליל התחתון,חבל אילות,חבל אשר,חבל מודיעין,חוף אשקלון,חוף הכרמל,יואב,יזרעאלים,לכיש,מבוא העמקים,מטה יהודה,מנשה-אלונה,מעלה נפתלי,נגב מערבי,עמק הירדן,עמק המעיינות,עמק חפר,ערבה תיכונה,קרית שמונה,ראשון לציון,רמת נגב",2525.71,1,2023/08/31 03:00:00,,,99005315642,קרקע חקלאית,2023/04/11 03:00:00,תכנית מתאר ארצית למתקני מחקר ופיתוח אגרו-וולטאיים,תמא/ 10/ ד/ 15,21,2023/06/06 03:00:00,19,https://mavat.iplan.gov.il/SV4/1/99005249620/310,עמק המעיינות,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,2021/11/02 02:00:00,2525809.3224122,64458.73339579,אישור,"תכנית מתאר ארצית למתקני מחקר ופיתוח אגרו-וולטאיים ^ לייעד שטחים להקמת מתקנים אגרו-וולטאיים למטרות מחקר ופיתוח, במגוון שיטות מחקר וגידולים באזורים גיאוגרפים שונים, בעלי מאפיינים חקלאיים ואקלימיים שונים. הקמת המתקנים תאפשר את בחינת השילוב בינם לבין הפע"
2022/05/24 03:00:00,2022/07/18 03:00:00,מרכז,תכנית לתשתית לאומית,"אום אל-פחם,אופקים,אור יהודה,אור עקיבא,אילת,אכסאל,אלעד,אשדוד,אשקלון,באר טוביה,באר שבע,ביר אל-מכסור,בית שאן,בית שמש,בני ברק,בני עי""ש,בני שמעון,בנימינה-גבעת עדה,בת ים,גבעתיים,גדרה,גולן,גזר,גני תקוה,דימונה,דרום השרון,הגילבוע,הוד השרון,הרצליה,זבולון,זכרון יעקב,חבל יבנה,חבל מודיעין,חדרה,חולון,חוף הכרמל,חוף השרון,חיפה,חצור הגלילית,חריש,טבריה,טייבה,טירה,יבנה,יהוד-מונוסון,יואב,יפיע,ירוחם,ירושלים,כסייפה,כפר יונה,כפר סבא,כרמיאל,לב השרון,להבים,לוד,לכיש,מגדל העמק,מודיעין-מכבים-רעות,מזכרת בתיה,מטה אשר,מיתר,מנשה,מעלות-תרשיחא,משגב,נהריה,נוף הגליל,נס ציונה,נצרת,נשר,נתיבות,נתניה,סח'נין,עכו,עמק המעיינות,עמק חפר,עמק יזרעאל,עספיא,עפולה,ערד,ערערה,פרדס חנה-כרכור,פתח תקוה,צורן קדימה,צפת,קצרין,קרית אונו,קרית אתא,קרית גת,קרית מוצקין,קרית עקרון,קרית שמונה,ראש העין,ראשון לציון,רחובות,ריינה,רכסים,רמלה,רמת גן,רמת השרון,רמת נגב,רעננה,שגב שלום,שדות דן,שדרות,שהם,שלומי,שער הנגב,שפיר,תל אביב-יפו,תל שבע,תמר",מזכרת בתיה,"20231212122746248   ",99005180460,"24962",,2023/10/12 03:00:00,"אופקים,אור יהודה,אילת,אלעד,אצבע הגליל,אשדוד,אשקלון,באר טוביה,באר שבע,בית שאן,בית שמש,בני ברק,בני שמעון,בת ים,גבעות אלונים,גבעתיים,גדרה,גולן,גזר,גני תקוה,דימונה,דרום השרון,הגלבוע,הוד השרון,הרצליה,זבולון,זמורה,חבל אשר,חבל מודיעין,חדרה,חולון,חוף הכרמל,חוף השרון,חיפה,חריש,טבריה,טייבה,טירה,יבנה,יהוד-מונוסון,יואב,יזרעאלים,יישובי הברון,ירוחם,ירושלים,כפר יונה,כפר סבא,כרמיאל,לב הגליל,לב השרון,להבים,לוד,לכיש,מבוא העמקים,מגדל העמק,מודיעין-מכבים-רעות,מורדות הכרמל,מיתר,מנשה-אלונה,מעלה הגליל,מעלות תרשיחא,משגב,נגב מזרחי,נגב מערבי,נהריה,נוף הגליל,נס ציונה,נצרת,נתיבות,נתניה,עירון,עכו,עמק המעיינות,עמק חפר,עפולה,ערד,פרדס חנה-כרכור,פתח תקוה,צפת,קצרין,קריות,קרית אונו,קרית אתא,קרית גת,קרית שמונה,ראש העין,ראשון לציון,רחובות,רכס הכרמל,רמלה,רמת גן,רמת השרון,רמת נגב,רעננה,שדות דן,שדרות,שהם,שורקות,שפיר,שרונים,תל אביב-יפו,תמר",5440,1,2023/10/12 03:00:00,,,99005317316,"יעוד עפ""י תכנית מאושרת אחרת",2023/02/07 02:00:00,"תת""ל 130 - חשמול התחבורה הציבורית",תתל/ 130,22,2023/04/24 03:00:00,21,https://mavat.iplan.gov.il/SV4/1/99005180460/310,זמורה,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,2020/12/01 02:00:00,5449330.04924806,173806.79548899,אישור,"תת""ל 130 - חשמול התחבורה הציבורית ^ יצירת מסגרת תכנונית להסדרת שימושים וזכויות בניה לצורך הקמת תשתית לטעינת אוטובוסים חשמליים במתקני תשתית לאוטובוסים הכלולים בתשריט התכנית. ^ א. קביעת שימושים בתחום ""יעוד עפ""י תכנית מאושרת אחרת"", המאפשרים הקמת תשתית ל"
2011/07/14 03:00:00,2011/09/04 03:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190223880   ",1000208067,"14",2013/01/28 02:00:00,2012/05/06 03:00:00,ירושלים,0.72,2,2012/05/06 03:00:00,2013/03/07 02:00:00,2012/01/01 02:00:00,1000238751,מגורים ב',2012/03/01 02:00:00,"הרחבת יח""ד ברח' אביעד 3, גבעת מרדכי, ירושלים",101-0051276,15,,12,https://mavat.iplan.gov.il/SV4/1/1000208067/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,4,0,0,0,0,0,0,0,0,368,0,0,0, ,"מגורים (יח""ד)", , , ,2011/06/05 03:00:00,717.39637981,108.16193693,אישור,"הרחבת יח""ד ברח' אביעד 3, גבעת מרדכי, ירושלים ^ הרחבת יח""ד קיימות ברח' אביעד 3, גבעת מרדכי, ירושלים ^ 2.2.1   שינוי מאזור מגורים 5 למגורים ב'.
2.2.2 קביעת השימושים המותרים למגורים.
2.2.3 קביעת הוראות בניה:
1. תוספת קומה חדשה בקומת מרתף לצורך הרחבת "
,,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190224285   ",1000211165,"56",,2012/09/05 03:00:00,ירושלים,2.708,3,,2013/04/17 03:00:00,2012/05/04 03:00:00,1000253051,"יעוד עפ""י תכנית מאושרת אחרת",2012/07/03 03:00:00,"הרחבת יח""ד עד 120 מ""ר כל אחת, ברח' ברזיל 16, קרית יובל, ירושלים.",101-0052597,15,,12,https://mavat.iplan.gov.il/SV4/1/1000211165/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,32,0,0,0,0,0,0,0,0,511,0,0,0, ,"מגורים (יח""ד)", , , ,2012/04/29 03:00:00,2706.59175085,231.67274298,אישור,"הרחבת יח""ד עד 120 מ""ר כל אחת, ברח' ברזיל 16, קרית יובל, ירושלים. ^ הרחבת יח""ד קיימות ברח' ברזיל 16, בשטח שאינו עולה על 120 מ""ר לכל יח""ד מורחבת. ^ 2.2.1  קביעת בינוי לתוספות בניה ברח' ברזיל מס' 16, כניסות א'-ד' (בניינים 1-4 ע""פ תכנית 1830) כמפורט להלן"
2012/01/12 02:00:00,2012/04/22 03:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190224831   ",1000208283,"85",2013/06/18 03:00:00,2013/04/29 03:00:00,ירושלים,0.581,2,2013/04/29 03:00:00,2013/07/11 03:00:00,2013/01/18 02:00:00,1000258999,מגורים א',2013/03/19 02:00:00,"הרחבת יח""ד, תוספת קומה ושתי יח""ד ברח' ורבורג 8, קרית יובל, ירושלים.",101-0051375,24,,17,https://mavat.iplan.gov.il/SV4/1/1000208283/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,2,0,0,0,0,0,0,0,2,257.75,0,0,0, ,"מגורים (יח""ד)", , , ,2011/10/26 03:00:00,573.27596256,93.17441574,אישור,"הרחבת יח""ד, תוספת קומה ושתי יח""ד ברח' ורבורג 8, קרית יובל, ירושלים. ^ הרחבת יח""ד ותוספת שתי יח""ד חדשות ברח' ורבורג 8, קרית יובל, ירושלים. ^ 2.2.1 שינוי מאזור מגורים 6 מיוחד למגורים א'.
2.2.2 קביעת השימושים המותרים למגורים.
2.2.3 קביעת הוראות בניה:"
